oln_id_a	oln_id_b	edge_type
YAL013W	YKL213C	genetic_interaction
YAL013W	YKL199C	genetic_interaction
YAL013W	YKL191W	genetic_interaction
YAL013W	YKL175W	genetic_interaction
YAL013W	YKL167C	genetic_interaction
YAL013W	YKL137W	genetic_interaction
YAL013W	YKL136W	genetic_interaction
YAL013W	YKL129C	genetic_interaction
YAL013W	YKL124W	genetic_interaction
YAL013W	YKL110C	genetic_interaction
YAL013W	YKL101W	genetic_interaction
YAL013W	YKL085W	genetic_interaction
YAL013W	YKL069W	genetic_interaction
YAL013W	YKL041W	genetic_interaction
YAL013W	YKL032C	genetic_interaction
YAL013W	YKR012C	genetic_interaction
YAL013W	YKR028W	genetic_interaction
YAL013W	YKR029C	genetic_interaction
YAL013W	YKR030W	genetic_interaction
YAL013W	YKR034W	genetic_interaction
YAL013W	YKR041W	genetic_interaction
YAL013W	YKR065C	genetic_interaction
YAL013W	YKR067W	genetic_interaction
YAL013W	YKR084C	genetic_interaction
YAL013W	YKR096W	genetic_interaction
YAL013W	YKR106W	genetic_interaction
YAL013W	YLL043W	genetic_interaction
YAL013W	YLL041C	genetic_interaction
YAL013W	YLL032C	genetic_interaction
YAL013W	YLL013C	genetic_interaction
YAL013W	YLL006W	genetic_interaction
YAL013W	YLL002W	genetic_interaction
YAL013W	YLR015W	genetic_interaction
YAL013W	YLR023C	genetic_interaction
